"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.085209691554","15.5280131132908","15.3065466083364","15.0565938385264","14.7111227104544","14.5116518616325","14.2704058818169","14.1846439815245","14.4685381926449","14.4062240846754","13.9108143345272","13.4020811519052","13.3183808302549","13.2788308431809","13.0253847145101","12.99205136073","12.7646725808785","12.7057671916183","12.5528665563563","12.3583392357072","","","",
"Afghanistan","AFG","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5.2","5.4","5.3","5.4","5.4","5.4","5.3","5.1","4.8","4.6","4.5","4.3","4.3","4.2","4.3","4.4","4.6","4.6","4.6","","","",
"Africa Western and Central","AFW","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.82737732413958","9.78190894015545","9.63315170412377","9.58290755607657","9.60514060991275","9.57848576655745","9.61358074295672","9.64397115220553","9.52979386981739","9.52982859288784","9.53895504517122","9.48266417073238","9.42899653406328","9.24229759467399","8.95868019269116","8.60097604403537","8.4918032459091","8.34387987569858","8.17706891899428","8.09945893452468","","","",
"Angola","AGO","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2","14.1","13.8","13.9","13.6","12.8","13.6","11.9","12","10.8","11.2","10.6","11.2","11.3","10.4","10.5","10","9.7","9.8","10","","","",
"Albania","ALB","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","6.1","6.2","6.4","6.5","9.7","9.8","10.3","10.3","10.2","9.5","7.5","6.9","6.9","6.6","6.3","6.3","6.3","6.2","5.9","","","",
"Andorra","AND","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.87391851255907","5.90011005481707","5.85609142955273","5.84712446003629","5.81462251668642","5.80481900778159","5.80841809834603","5.8459453786444","5.94870527961931","6.02948853255005","6.06007534409702","6.21060201408893","6.23519746083231","6.09276760644452","6.0385872695577","5.89210524754189","5.80275838976197","5.71523669148541","5.72501472953462","5.7302286943582","","","",
"United Arab Emirates","ARE","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8","10.8","10.1","9.3","9.6","9.8","10.3","10.2","10.3","10.3","10.1","9.9","9.6","9.1","8.6","7.9","7.3","6.8","7.4","8","","","",
"Argentina","ARG","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.2","16.9","16.6","15.9","14.2","13.9","14.2","13.5","14.3","13.9","14.2","14","15.1","14.2","15.1","13.6","13.7","14.5","15.1","13.7","","","",
"Armenia","ARM","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1","5.2","5.9","4.3","6.2","6.6","8.9","8.7","7.3","8","10.5","9.5","10.9","7.6","8.1","8.9","9.2","5.5","3.4","5.6","","","",
"American Samoa","ASM","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1","4","2.7","2.7","3.7","2.7","1","0.8","0.6","0","0.3","0.2","0","0","0","0","0","0","0","0","","","",
"Australia","AUS","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9","18.8","17.4","16.2","15.9","17.3","16.1","16.2","17.9","16.9","17.7","16.8","17.1","17","18.9","19.7","18","19.5","18.7","18.6","","","",
"Austria","AUT","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.8","27.7","30.4","27.5","27.1","26.4","25.7","24.5","24.6","24.8","25.1","25.4","25.7","24.9","25.3","24.8","23.6","24.5","24.9","22.8","","","",
"Azerbaijan","AZE","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1","5.5","5.8","6","6.9","7.2","7.5","7.8","7.5","7.4","7.3","7.2","7","6.9","6.7","6.6","6.4","6.4","6.5","6.6","","","",
"Burundi","BDI","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.6","15","14.1","13.3","12.6","12.1","12.2","11.6","11","10.7","10.6","10.3","10.1","9.9","9.4","9.2","9.2","9.3","9.3","9.2","","","",
"Belgium","BEL","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.5","32.9","30.2","31.8","29.6","30.3","29","26.7","29.5","29.7","29.1","29.7","30.2","27.4","27","25.8","27.1","26.1","25.6","24.9","","","",
"Benin","BEN","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9","13.1","13.1","13","13.1","13","12.9","12.7","12.5","12.8","12.7","12.7","12.6","12.5","12.4","12.2","12.1","12","12","11.8","","","",
"Burkina Faso","BFA","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.9","11.5","11.2","11.1","11.2","11.4","11.5","11.6","11.5","11.6","11.9","11.7","12.4","12.4","12","11.9","11.8","11.6","11.6","11.3","","","",
"Bangladesh","BGD","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.7","8","7.5","7.1","6.8","6.9","7","7","6.8","6.5","6.3","5.6","5.1","5","5.1","5","5.1","5.3","5.5","5.7","","","",
"Bulgaria","BGR","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.8","26.4","26.9","22.9","21.7","20.2","21.2","18.8","20.1","19.4","19.2","17.8","19.9","17.1","16.3","15.5","15.1","16.1","15.4","15.3","","","",
"Bahrain","BHR","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.8","13.1","13.5","14.7","14.6","14.6","11.3","13.3","12.7","11.8","11.3","10.9","10.3","9.9","10.4","10.4","10.9","11.4","12.1","12.5","","","",
"Bahamas, The","BHS","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6","4.1","3.8","3.9","5.2","4.9","5.6","5.3","5.5","5.5","6.1","6.3","6","5.3","5.7","5.9","6.2","5.9","6","5.9","","","",
"Bosnia and Herzegovina","BIH","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.3","14.8","15.4","15.6","15.7","17.3","17","18.4","17.4","17.2","16.8","17.1","16.6","17","16.9","17","16.8","16.8","17.3","17.6","","","",
"Belarus","BLR","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.6","78.6","80.1","77.6","75.6","78.5","73.5","65.7","65.5","64.8","64.3","64.7","52.9","49.1","46.6","42.7","42.3","40.6","39.7","36.7","","","",
"Belize","BLZ","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5","10.1","10.2","10.5","11.8","9.2","9.5","8.9","7.3","10.6","11.9","11.7","10.9","10.2","10.4","10.5","10.3","12.5","11.5","12.5","","","",
"Bermuda","BMU","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","8.7","8.5","8.4","8.1","8","7.6","7.7","7.5","7.6","7.7","7.8","7.7","7.7","8","8.3","8.8","8.5","8.4","8.4","","","",
"Brazil","BRA","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","7","6.7","6.8","6.9","7.3","7.2","7.5","7.9","8","7.6","8","8.2","8.6","8.8","9.1","9.4","10.3","10.9","10.9","","","",
"Barbados","BRB","Suicide mortality rate, male (per 100,000 male population)","SH.STA.SUIC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.9","2.8","0.4","0.7","0.8","4.1","3.1","2.9","1.5","2.5","2.6","1.6","0.5","0.7","0.9","0.9","1","0.9","0.9","0.9","","","",
